0.202390,-0.422089
0.379325,0.065822
-0.087752,-0.455277
-0.308912,-0.322465
-0.122925,-0.331089
-0.213984,-0.351554
-0.258906,-0.253704
-0.003488,-0.169479
0.350198,0.183851
0.355616,-0.336422
-0.005121,0.167648
0.353443,0.334507
0.109425,0.288274
0.176122,0.299707
0.197978,0.123330
0.470436,-0.018801
0.377842,-0.163659
0.004464,0.258371
-0.010786,0.241180
-0.365915,-0.077770
-0.152713,0.116622
0.032070,0.332291
0.024176,0.331406
-0.071382,0.316838
-0.133871,-0.141331
0.256369,-0.193036
-0.000784,-0.179681
-0.003053,0.228305
-0.113022,-0.399401
0.008316,-0.254870
-0.011249,-0.290093
-0.066211,-0.136771
-0.159417,-0.430214
